emoji,text_name,unicode
🎃,jack-o-lantern,1F383
🎄,Christmas tree,1F384
🎆,fireworks,1F386
🎇,sparkler,1F387
🧨,firecracker,1F9E8
✨,sparkles,2728
🎈,balloon,1F388
🎉,party popper,1F389
🎊,confetti ball,1F38A
🎋,tanabata tree,1F38B
🎍,pine decoration,1F38D
🎎,Japanese dolls,1F38E
🎏,carp streamer,1F38F
🎐,wind chime,1F390
🎑,moon viewing ceremony,1F391
🧧,red envelope,1F9E7
🎀,ribbon,1F380
🎁,wrapped gift,1F381
🎗️,reminder ribbon,1F397 FE0F
🎗,reminder ribbon,1F397
🎟️,admission tickets,1F39F FE0F
🎟,admission tickets,1F39F
🎫,ticket,1F3AB
🎖️,military medal,1F396 FE0F
🎖,military medal,1F396
🏆,trophy,1F3C6
🏅,sports medal,1F3C5
🥇,1st place medal,1F947
🥈,2nd place medal,1F948
🥉,3rd place medal,1F949
⚽,soccer ball,26BD
⚾,baseball,26BE
🥎,softball,1F94E
🏀,basketball,1F3C0
🏐,volleyball,1F3D0
🏈,american football,1F3C8
🏉,rugby football,1F3C9
🎾,tennis,1F3BE
🥏,flying disc,1F94F
🎳,bowling,1F3B3
🏏,cricket game,1F3CF
🏑,field hockey,1F3D1
🏒,ice hockey,1F3D2
🥍,lacrosse,1F94D
🏓,ping pong,1F3D3
🏸,badminton,1F3F8
🥊,boxing glove,1F94A
🥋,martial arts uniform,1F94B
🥅,goal net,1F945
⛳,flag in hole,26F3
⛸️,ice skate,26F8 FE0F
⛸,ice skate,26F8
🎣,fishing pole,1F3A3
🤿,diving mask,1F93F
🎽,running shirt,1F3BD
🎿,skis,1F3BF
🛷,sled,1F6F7
🥌,curling stone,1F94C
🎯,bullseye,1F3AF
🪀,yo-yo,1FA80
🪁,kite,1FA81
🔫,water pistol,1F52B
🎱,pool 8 ball,1F3B1
🔮,crystal ball,1F52E
🪄,magic wand,1FA84
🎮,video game,1F3AE
🕹️,joystick,1F579 FE0F
🕹,joystick,1F579
🎰,slot machine,1F3B0
🎲,game die,1F3B2
🧩,puzzle piece,1F9E9
🧸,teddy bear,1F9F8
🪅,piata,1FA85
🪩,mirror ball,1FAA9
🪆,nesting dolls,1FA86
♠️,spade suit,2660 FE0F
♠,spade suit,2660
♥️,heart suit,2665 FE0F
♥,heart suit,2665
♦️,diamond suit,2666 FE0F
♦,diamond suit,2666
♣️,club suit,2663 FE0F
♣,club suit,2663
♟️,chess pawn,265F FE0F
♟,chess pawn,265F
🃏,joker,1F0CF
🀄,mahjong red dragon,1F004
🎴,flower playing cards,1F3B4
🎭,performing arts,1F3AD
🖼️,framed picture,1F5BC FE0F
🖼,framed picture,1F5BC
🎨,artist palette,1F3A8
🧵,thread,1F9F5
🪡,sewing needle,1FAA1
🧶,yarn,1F9F6
🪢,knot,1FAA2
🐵,monkey face,1F435
🐒,monkey,1F412
🦍,gorilla,1F98D
🦧,orangutan,1F9A7
🐶,dog face,1F436
🐕,dog,1F415
🦮,guide dog,1F9AE
🐕‍🦺,service dog,1F415 200D 1F9BA
🐩,poodle,1F429
🐺,wolf,1F43A
🦊,fox,1F98A
🦝,raccoon,1F99D
🐱,cat face,1F431
🐈,cat,1F408
🐈‍⬛,black cat,1F408 200D 2B1B
🦁,lion,1F981
🐯,tiger face,1F42F
🐅,tiger,1F405
🐆,leopard,1F406
🐴,horse face,1F434
🫎,moose,1FACE
🫏,donkey,1FACF
🐎,horse,1F40E
🦄,unicorn,1F984
🦓,zebra,1F993
🦌,deer,1F98C
🦬,bison,1F9AC
🐮,cow face,1F42E
🐂,ox,1F402
🐃,water buffalo,1F403
